##################################################
         Track rate for each run number           
##################################################
runnum :291833 , # of tracks :1457      , track rates :2.85      
runnum :292530 , # of tracks :566       , track rates :0.15      
runnum :292366 , # of tracks :7040      , track rates :2.59      
runnum :291307 , # of tracks :924       , track rates :0.28      
runnum :291655 , # of tracks :202       , track rates :0.38      
runnum :292230 , # of tracks :559       , track rates :2.55      
runnum :292305 , # of tracks :7888      , track rates :2.57      
runnum :291386 , # of tracks :662       , track rates :2.71      
runnum :290966 , # of tracks :60268     , track rates :2.48      
runnum :292462 , # of tracks :76        , track rates :3.24      
runnum :292384 , # of tracks :13613     , track rates :2.56      
runnum :291650 , # of tracks :3167      , track rates :2.79      
runnum :291312 , # of tracks :1         , track rates :2.48      
runnum :290506 , # of tracks :9375      , track rates :2.50      
runnum :292718 , # of tracks :4686      , track rates :1.48      
runnum :290911 , # of tracks :3798      , track rates :2.55      
runnum :292463 , # of tracks :82        , track rates :3.72      
runnum :292251 , # of tracks :14239     , track rates :2.47      
runnum :291651 , # of tracks :6210      , track rates :2.77      
runnum :292469 , # of tracks :71        , track rates :3.89      
runnum :291886 , # of tracks :86        , track rates :0.37      
runnum :292712 , # of tracks :2334      , track rates :2.54      
runnum :292619 , # of tracks :2708      , track rates :2.38      
runnum :292154 , # of tracks :60402     , track rates :1.66      
runnum :290965 , # of tracks :2148      , track rates :2.49      
runnum :292246 , # of tracks :1618      , track rates :2.68      
runnum :292378 , # of tracks :644       , track rates :0.32      
runnum :292722 , # of tracks :11672     , track rates :2.38      
runnum :291116 , # of tracks :3402      , track rates :2.35      
runnum :291863 , # of tracks :57018     , track rates :2.72      
runnum :291874 , # of tracks :11025     , track rates :2.68      
runnum :292170 , # of tracks :912       , track rates :2.75      
runnum :291900 , # of tracks :14676     , track rates :2.55      
runnum :291305 , # of tracks :27        , track rates :0.40      
runnum :292583 , # of tracks :2660      , track rates :2.72      
runnum :290619 , # of tracks :7269      , track rates :2.58      
runnum :292585 , # of tracks :13722     , track rates :2.74      
runnum :291622 , # of tracks :7142      , track rates :0.69      
runnum :292066 , # of tracks :1904      , track rates :2.79      
runnum :290744 , # of tracks :11698     , track rates :2.52      
runnum :290784 , # of tracks :12779     , track rates :2.54      
runnum :291662 , # of tracks :2599      , track rates :1.83      
runnum :290933 , # of tracks :1614      , track rates :2.47      
runnum :292247 , # of tracks :58733     , track rates :2.21      
runnum :291343 , # of tracks :16401     , track rates :2.53      
runnum :290346 , # of tracks :11115     , track rates :2.49      
runnum :292468 , # of tracks :66        , track rates :2.95      
runnum :291506 , # of tracks :4044      , track rates :2.55      
runnum :292456 , # of tracks :211       , track rates :3.44      
runnum :291379 , # of tracks :1688      , track rates :2.85      
runnum :291835 , # of tracks :1908      , track rates :2.39      
runnum :291115 , # of tracks :60446     , track rates :2.35      
runnum :292059 , # of tracks :2631      , track rates :2.72      
runnum :290510 , # of tracks :45398     , track rates :2.47      
runnum :290496 , # of tracks :1639      , track rates :2.50      
runnum :291839 , # of tracks :3855      , track rates :2.57      


##################################################
    Some information on total number of tracks    
##################################################
Total # of tracks   : 4549608   
# of tracks in BPIX : 3065      
# of tracks in FPIX : 20295     
# of tracks in PIX  : 23338     


0 Run 	 Tracks: 25391.000000 	 Weight: 0.005581 	 Events: 41776.000000 	 EventRate: 3.834956 
1 Run 	 Tracks: 1205.000000 	 Weight: 0.000265 	 Events: 1980.000000 	 EventRate: 4.048753 
2 Run 	 Tracks: 153.000000 	 Weight: 0.000034 	 Events: 282.000000 	 EventRate: 4.705030 
3 Run 	 Tracks: 103.000000 	 Weight: 0.000023 	 Events: 159.000000 	 EventRate: 5.979731 
4 Run 	 Tracks: 2328.000000 	 Weight: 0.000512 	 Events: 3802.000000 	 EventRate: 4.294046 
5 Run 	 Tracks: 172.000000 	 Weight: 0.000038 	 Events: 297.000000 	 EventRate: 5.294982 
6 Run 	 Tracks: 35965.000000 	 Weight: 0.007905 	 Events: 59466.000000 	 EventRate: 4.353286 
7 Run 	 Tracks: 16592.000000 	 Weight: 0.003647 	 Events: 27271.000000 	 EventRate: 4.098875 
8 Run 	 Tracks: 37383.000000 	 Weight: 0.008217 	 Events: 62091.000000 	 EventRate: 2.864379 
9 Run 	 Tracks: 6685.000000 	 Weight: 0.001469 	 Events: 10954.000000 	 EventRate: 4.167959 
10 Run 	 Tracks: 3337.000000 	 Weight: 0.000733 	 Events: 5546.000000 	 EventRate: 4.527116 
11 Run 	 Tracks: 4981.000000 	 Weight: 0.001095 	 Events: 8289.000000 	 EventRate: 1.833672 
12 Run 	 Tracks: 20740.000000 	 Weight: 0.004559 	 Events: 34274.000000 	 EventRate: 4.097026 
13 Run 	 Tracks: 77.000000 	 Weight: 0.000017 	 Events: 121.000000 	 EventRate: 0.708165 
14 Run 	 Tracks: 54481.000000 	 Weight: 0.011975 	 Events: 90354.000000 	 EventRate: 3.080834 
15 Run 	 Tracks: 476.000000 	 Weight: 0.000105 	 Events: 812.000000 	 EventRate: 0.633544 
16 Run 	 Tracks: 59773.000000 	 Weight: 0.013138 	 Events: 98702.000000 	 EventRate: 3.999573 
17 Run 	 Tracks: 4268.000000 	 Weight: 0.000938 	 Events: 6952.000000 	 EventRate: 4.485957 
18 Run 	 Tracks: 59008.000000 	 Weight: 0.012970 	 Events: 97510.000000 	 EventRate: 4.014285 
